Date,Open,High,Low,Close
03/20/2024,"36.0600","36.2200","35.9500","35.9800"
03/19/2024,"35.9800","36.1500","35.9400","36.0700"
03/18/2024,"35.8500","36.0300","35.8400","35.9900"
03/15/2024,"35.7900","35.9400","35.7400","35.9000"
03/14/2024,"35.6400","35.8200","35.5900","35.8000"
03/13/2024,"35.7500","35.7800","35.5700","35.6500"
03/12/2024,"35.4500","35.8000","35.3900","35.7600"
03/11/2024,"35.3700","35.5000","35.3400","35.4400"
03/08/2024,"35.5600","35.5900","35.2900","35.4000"
03/07/2024,"35.6100","35.6600","35.5100","35.5700"
03/06/2024,"35.8500","35.8700","35.5700","35.6200"
03/05/2024,"35.7600","35.8900","35.7300","35.8100"
03/04/2024,"35.8000","35.8900","35.7200","35.7500"
03/01/2024,"35.8900","36.0200","35.7700","35.7700"
02/29/2024,"35.9500","36.0400","35.7800","35.9000"
02/28/2024,"35.8700","36.1100","35.8100","35.9600"
02/27/2024,"35.9100","35.9700","35.7700","35.8800"
02/26/2024,"35.9200","36.0300","35.8100","35.9200"
02/23/2024,"35.9400","36.1500","35.8900","35.9500"
02/22/2024,"35.8500","36.0000","35.7300","35.9300"
02/21/2024,"36.0100","36.0800","35.7900","35.8600"
02/20/2024,"36.0400","36.2000","35.9400","35.9700"
02/19/2024,"36.0100","36.1000","35.8800","36.0300"
02/16/2024,"36.0500","36.1800","35.9500","36.0100"
02/15/2024,"36.1000","36.2000","36.0100","36.0600"
02/14/2024,"36.0600","36.2200","36.0300","36.0900"
02/13/2024,"35.8900","36.1000","35.6600","36.0500"
02/12/2024,"35.9100","35.9700","35.8200","35.8800"
02/09/2024,"35.8600","35.9900","35.8100","35.9200"
02/08/2024,"35.6000","35.9500","35.5600","35.8500"
02/07/2024,"35.5900","35.6700","35.4400","35.6100"
02/06/2024,"35.8100","35.8300","35.5100","35.6000"
02/05/2024,"35.6700","35.8900","35.4500","35.8000"
02/02/2024,"35.3400","35.6600","35.1700","35.6100"
02/01/2024,"35.5400","35.6100","35.2800","35.3200"
01/31/2024,"35.3900","35.6200","35.2500","35.5500"
01/30/2024,"35.4300","35.4900","35.2600","35.3800"
01/29/2024,"35.6100","35.7000","35.4100","35.4400"
01/26/2024,"35.7400","35.7800","35.5100","35.6500"
01/25/2024,"35.7200","35.8200","35.6400","35.7300"
01/24/2024,"35.6900","35.8900","35.5500","35.7300"
01/23/2024,"35.6000","35.7700","35.4900","35.7100"
01/22/2024,"35.4700","35.6900","35.4300","35.6100"
01/19/2024,"35.5800","35.6200","35.4300","35.5200"
01/18/2024,"35.6100","35.7000","35.4300","35.5700"
01/17/2024,"35.4200","35.7200","35.3600","35.6000"
01/16/2024,"34.9300","35.4600","34.9100","35.4100"
01/15/2024,"34.9000","35.0300","34.7600","34.9600"
01/12/2024,"35.1200","35.1700","34.8600","34.9100"
01/11/2024,"35.0700","35.2500","34.9200","35.0700"
01/10/2024,"34.9200","35.2200","34.9000","35.0800"
01/09/2024,"34.9600","35.0200","34.8100","34.9300"
01/08/2024,"34.6600","35.1100","34.5800","34.9500"
01/05/2024,"34.5200","34.9700","34.4400","34.7000"
01/04/2024,"34.4800","34.6300","34.4100","34.5300"
01/03/2024,"34.2700","34.5600","34.1800","34.4900"
01/02/2024,"34.3600","34.4100","34.1000","34.2800"
01/01/2024,"34.3800","34.4400","34.3700","34.4000"
12/29/2023,"34.3200","34.5000","34.1300","34.3800"
12/28/2023,"34.3400","34.3400","34.0800","34.3000"
12/27/2023,"34.5800","34.5900","34.2700","34.3300"
12/26/2023,"34.5900","34.7200","34.5100","34.5700"
12/25/2023,"34.5300","34.6600","34.5000","34.5800"
12/22/2023,"34.8100","34.8400","34.4500","34.6100"
12/21/2023,"34.9900","35.0100","34.7200","34.8000"
12/20/2023,"34.8400","35.0100","34.8100","34.9800"
12/19/2023,"34.9900","35.0300","34.7700","34.8500"
12/18/2023,"34.8800","35.0500","34.8300","34.9800"
12/15/2023,"34.8400","35.0200","34.7500","34.9100"
12/14/2023,"35.3300","35.4000","34.7600","34.8800"
12/13/2023,"35.7000","35.8400","35.2800","35.3200"
12/12/2023,"35.7400","35.7900","35.4700","35.6900"
12/11/2023,"35.5500","35.8200","35.4100","35.7200"
12/08/2023,"35.1600","35.6100","35.0500","35.5500"
12/07/2023,"35.1700","35.4100","35.1100","35.1500"
12/06/2023,"35.2400","35.3100","35.0100","35.2000"
12/05/2023,"35.2300","35.3500","35.1000","35.2300"
12/04/2023,"34.8500","35.3000","34.6700","35.2400"
12/01/2023,"35.3100","35.3400","34.8300","34.8900"
11/30/2023,"34.8300","35.3900","34.7600","35.3200"
11/29/2023,"34.7400","34.9300","34.5600","34.8200"
11/28/2023,"35.0800","35.1000","34.6800","34.7500"
11/27/2023,"35.3900","35.4200","35.0400","35.0700"
11/24/2023,"35.2700","35.5300","35.2400","35.3500"
11/23/2023,"35.2500","35.3200","35.1900","35.2800"
11/22/2023,"35.1900","35.3200","35.1100","35.2300"
11/21/2023,"35.2200","35.2500","35.0100","35.1800"
11/20/2023,"35.1100","35.2900","35.0200","35.2000"
11/17/2023,"35.2200","35.2900","34.9900","35.1100"
11/16/2023,"35.5700","35.7200","35.1200","35.2100"
11/15/2023,"35.5200","35.6800","35.4100","35.5900"
11/14/2023,"35.9800","36.1400","35.4800","35.5100"
11/13/2023,"35.9200","36.1600","35.8500","35.9700"
11/10/2023,"35.7600","36.0800","35.7000","36.0200"
11/09/2023,"35.5400","35.8200","35.4000","35.7700"
11/08/2023,"35.5900","35.6300","35.4500","35.5300"
11/07/2023,"35.4900","35.6600","35.4300","35.5600"
11/06/2023,"35.4500","35.5900","35.3700","35.5200"
11/03/2023,"35.9700","36.0300","35.4000","35.4500"
11/02/2023,"36.1400","36.2000","35.8300","35.9800"
11/01/2023,"36.1400","36.3400","36.0800","36.1500"
10/31/2023,"35.9100","36.1800","35.8500","36.1500"
10/30/2023,"36.1100","36.2500","35.8500","35.9400"
10/27/2023,"36.2800","36.2900","36.0800","36.1300"
10/26/2023,"36.2400","36.4000","36.2000","36.2700"
10/25/2023,"36.1900","36.2600","36.0500","36.2300"
10/24/2023,"36.3100","36.3500","36.0900","36.1700"
10/23/2023,"36.4800","36.6300","36.2800","36.3000"
10/20/2023,"36.4000","36.5900","36.3800","36.4900"
10/19/2023,"36.3800","36.5200","36.3500","36.3900"
10/18/2023,"36.3400","36.4300","36.2200","36.3700"
10/17/2023,"36.2600","36.4900","36.2300","36.3300"
10/16/2023,"36.3600","36.4000","36.1700","36.2500"
10/13/2023,"36.4100","36.5600","36.1400","36.2500"
10/12/2023,"36.4200","36.4600","36.0900","36.4000"
10/11/2023,"36.6100","36.6300","36.3100","36.4300"
10/10/2023,"36.9800","37.0100","36.5700","36.6200"
10/09/2023,"36.9700","37.1600","36.9200","36.9700"
10/06/2023,"36.9600","37.2000","36.8600","36.9200"
10/05/2023,"36.9100","37.1000","36.7900","36.9700"
10/04/2023,"37.0700","37.2500","36.8700","36.9000"
10/03/2023,"36.9700","37.1700","36.9300","37.0600"
10/02/2023,"36.5600","37.0100","36.5600","36.9600"
09/29/2023,"36.5700","36.6600","36.3800","36.5600"
09/28/2023,"36.6900","36.8400","36.5100","36.5600"
09/27/2023,"36.4000","36.7600","36.3700","36.7000"
09/26/2023,"36.1900","36.5000","36.1500","36.4100"
09/25/2023,"35.9700","36.2200","35.9000","36.2000"
09/22/2023,"36.1300","36.2500","35.8700","36.0100"
09/21/2023,"36.1400","36.3200","36.0600","36.1200"
09/20/2023,"36.0300","36.3500","35.8000","36.1500"
09/19/2023,"35.7000","36.0800","35.6400","36.0600"
09/18/2023,"35.6600","35.8400","35.6200","35.6800"
09/15/2023,"35.7900","35.8500","35.6400","35.7100"
09/14/2023,"35.7400","35.8400","35.6200","35.7800"
09/13/2023,"35.5900","35.8200","35.5600","35.7300"
09/12/2023,"35.5000","35.7400","35.4700","35.5800"
09/11/2023,"35.6700","35.6700","35.4200","35.5100"
09/08/2023,"35.6400","35.7200","35.4600","35.6700"
09/07/2023,"35.5300","35.6700","35.4900","35.6300"
09/06/2023,"35.4600","35.6200","35.4000","35.5200"
09/05/2023,"35.2500","35.5300","35.2100","35.4700"
09/04/2023,"35.0400","35.2900","34.9300","35.2600"
09/01/2023,"35.0100","35.2100","34.8900","35.2100"
08/31/2023,"35.0600","35.0800","34.8700","35.0000"
