"วันเดือนปี","ล่าสุด","ราคาเปิด","สูงสุด","ต่ำสุด","ปริมาณ","% เปลี่ยน"
"03/21/2024","36.060","35.915","36.080","35.889","","0.36%"
"03/20/2024","35.930","36.091","36.210","35.900","","-0.28%"
"03/19/2024","36.030","35.985","36.110","35.940","","0.19%"
"03/18/2024","35.960","35.890","36.010","35.880","","0.28%"
"03/15/2024","35.860","35.780","35.930","35.760","","0.25%"
"03/14/2024","35.770","35.640","35.820","35.600","","0.39%"
"03/13/2024","35.630","35.750","35.785","35.560","","-0.31%"
"03/12/2024","35.740","35.415","35.800","35.380","","0.96%"
"03/11/2024","35.400","35.400","35.500","35.345","","0.08%"
"03/08/2024","35.370","35.560","35.595","35.295","","-0.45%"
"03/07/2024","35.530","35.610","35.665","35.505","","-0.20%"
"03/06/2024","35.600","35.820","35.870","35.570","","-0.59%"
"03/05/2024","35.810","35.755","35.880","35.720","","0.20%"
"03/04/2024","35.740","35.860","35.870","35.730","","-0.31%"
"03/01/2024","35.850","35.900","36.010","35.820","","-0.08%"
"02/29/2024","35.880","35.950","36.050","35.785","","-0.31%"
"02/28/2024","35.990","35.860","36.090","35.815","","0.36%"
"02/27/2024","35.860","35.880","35.970","35.770","","-0.08%"
"02/26/2024","35.890","35.960","36.025","35.815","","-0.17%"
"02/23/2024","35.950","35.945","36.140","35.890","","0.03%"
"02/22/2024","35.940","35.880","35.990","35.720","","0.20%"
"02/21/2024","35.870","35.995","36.080","35.775","","-0.42%"
"02/20/2024","36.020","36.040","36.230","35.950","","0.00%"
"02/19/2024","36.020","36.030","36.090","35.890","","0.08%"
"02/16/2024","35.990","36.070","36.170","35.960","","-0.19%"
"02/15/2024","36.060","36.110","36.200","36.030","","-0.11%"
"02/14/2024","36.100","36.060","36.210","36.040","","0.22%"
"02/13/2024","36.020","35.890","36.090","35.655","","0.39%"
"02/12/2024","35.880","35.910","35.965","35.830","","-0.03%"
"02/09/2024","35.890","35.860","35.990","35.815","","0.11%"
"02/08/2024","35.850","35.615","35.940","35.560","","0.70%"
"02/07/2024","35.600","35.600","35.660","35.425","","0.14%"
"02/06/2024","35.550","35.800","35.825","35.500","","-0.67%"
"02/05/2024","35.790","35.560","35.870","35.550","","0.56%"
"02/02/2024","35.590","35.335","35.650","35.165","","0.74%"
"02/01/2024","35.330","35.550","35.610","35.280","","-0.56%"
"01/31/2024","35.530","35.400","35.625","35.270","","0.42%"
"01/30/2024","35.380","35.440","35.465","35.260","","-0.14%"
"01/29/2024","35.430","35.620","35.680","35.415","","-0.59%"
"01/26/2024","35.640","35.750","35.780","35.505","","-0.25%"
"01/25/2024","35.730","35.720","35.810","35.640","","0.03%"
"01/24/2024","35.720","35.700","35.890","35.550","","0.08%"
"01/23/2024","35.690","35.610","35.760","35.490","","0.28%"
"01/22/2024","35.590","35.540","35.685","35.440","","0.25%"
"01/19/2024","35.500","35.590","35.610","35.425","","-0.17%"
"01/18/2024","35.560","35.610","35.690","35.420","","-0.14%"
"01/17/2024","35.610","35.415","35.710","35.370","","0.71%"
"01/16/2024","35.360","34.950","35.450","34.915","","1.20%"
"01/15/2024","34.940","34.960","35.020","34.755","","0.23%"
"01/12/2024","34.860","35.120","35.160","34.855","","-0.57%"
"01/11/2024","35.060","35.040","35.230","34.910","","0.00%"
"01/10/2024","35.060","34.940","35.210","34.900","","0.49%"
"01/09/2024","34.890","34.940","35.020","34.810","","-0.11%"
"01/08/2024","34.930","34.670","35.100","34.580","","0.78%"
"01/05/2024","34.660","34.525","34.950","34.430","","0.43%"
"01/04/2024","34.510","34.480","34.625","34.405","","0.09%"
"01/03/2024","34.480","34.260","34.550","34.190","","0.64%"
"01/02/2024","34.260","34.390","34.390","34.105","","-0.35%"
"01/01/2024","34.380","34.390","34.390","34.390","","0.09%"
"12/29/2023","34.350","34.270","34.465","34.125","","0.26%"
"12/28/2023","34.260","34.350","34.350","34.085","","-0.20%"
"12/27/2023","34.330","34.560","34.595","34.265","","-0.64%"
"12/26/2023","34.550","34.610","34.720","34.515","","-0.14%"
"12/25/2023","34.600","34.600","34.690","34.520","","0.14%"
"12/22/2023","34.550","34.800","34.800","34.440","","-0.69%"
"12/21/2023","34.790","34.990","35.010","34.715","","-0.51%"
"12/20/2023","34.970","34.840","35.010","34.810","","0.40%"
"12/19/2023","34.830","34.980","35.030","34.775","","-0.37%"
"12/18/2023","34.960","34.890","35.040","34.870","","0.17%"
"12/15/2023","34.900","34.880","35.010","34.760","","0.09%"
"12/14/2023","34.870","35.340","35.370","34.780","","-1.19%"
"12/13/2023","35.290","35.700","35.840","35.280","","-1.09%"
"12/12/2023","35.680","35.750","35.780","35.480","","-0.14%"
"12/11/2023","35.730","35.540","35.800","35.450","","0.59%"
"12/08/2023","35.520","35.140","35.575","35.055","","1.11%"
"12/07/2023","35.130","35.160","35.395","35.110","","-0.14%"
"12/06/2023","35.180","35.240","35.290","35.010","","-0.09%"
"12/05/2023","35.210","35.250","35.340","35.095","","-0.09%"
"12/04/2023","35.240","34.910","35.295","34.680","","1.15%"
"12/01/2023","34.840","35.290","35.345","34.825","","-1.33%"
"11/30/2023","35.310","34.830","35.390","34.765","","1.41%"
"11/29/2023","34.820","34.770","34.920","34.560","","0.26%"
"11/28/2023","34.730","35.065","35.100","34.685","","-0.97%"
"11/27/2023","35.070","35.400","35.415","35.040","","-0.62%"
"11/24/2023","35.290","35.250","35.520","35.225","","0.09%"
"11/23/2023","35.260","35.245","35.320","35.180","","0.11%"
"11/22/2023","35.220","35.180","35.310","35.095","","0.23%"
"11/21/2023","35.140","35.210","35.255","35.015","","-0.14%"
"11/20/2023","35.190","35.110","35.280","35.020","","0.17%"
"11/17/2023","35.130","35.210","35.280","34.985","","-0.20%"
"11/16/2023","35.200","35.590","35.720","35.115","","-0.93%"
"11/15/2023","35.530","35.525","35.680","35.420","","0.08%"
"11/14/2023","35.500","35.980","36.140","35.475","","-1.33%"
"11/13/2023","35.980","35.970","36.160","35.905","","0.11%"
"11/10/2023","35.940","35.740","36.075","35.720","","0.59%"
"11/09/2023","35.730","35.530","35.810","35.400","","0.62%"
"11/08/2023","35.510","35.580","35.635","35.440","","-0.06%"
"11/07/2023","35.530","35.515","35.660","35.420","","0.14%"
"11/06/2023","35.480","35.510","35.580","35.370","","0.14%"
"11/03/2023","35.430","35.985","36.030","35.390","","-1.39%"
"11/02/2023","35.930","36.190","36.190","35.840","","-0.66%"
"11/01/2023","36.170","36.120","36.340","36.085","","0.08%"
"10/31/2023","36.140","35.900","36.175","35.855","","0.70%"
"10/30/2023","35.890","36.160","36.170","35.855","","-0.61%"
"10/27/2023","36.110","36.280","36.290","36.090","","-0.50%"
"10/26/2023","36.290","36.230","36.390","36.210","","0.19%"
"10/25/2023","36.220","36.200","36.245","36.050","","0.14%"
"10/24/2023","36.170","36.310","36.340","36.090","","-0.33%"
"10/23/2023","36.290","36.490","36.630","36.280","","-0.47%"
"10/20/2023","36.460","36.420","36.570","36.380","","0.14%"
"10/19/2023","36.410","36.380","36.520","36.355","","0.11%"
"10/18/2023","36.370","36.340","36.430","36.230","","0.11%"
"10/17/2023","36.330","36.250","36.490","36.250","","0.28%"
"10/16/2023","36.230","36.250","36.400","36.180","","0.06%"
"10/13/2023","36.210","36.400","36.550","36.140","","-0.47%"
"10/12/2023","36.380","36.410","36.450","36.080","","-0.11%"
"10/11/2023","36.420","36.620","36.640","36.305","","-0.46%"
"10/10/2023","36.590","36.970","37.020","36.565","","-1.00%"
"10/09/2023","36.960","37.010","37.140","36.930","","0.19%"
"10/06/2023","36.890","36.970","37.200","36.860","","-0.19%"
"10/05/2023","36.960","36.905","37.085","36.780","","0.19%"
"10/04/2023","36.890","37.080","37.240","36.875","","-0.43%"
"10/03/2023","37.050","36.950","37.160","36.945","","0.32%"
"10/02/2023","36.930","36.550","36.990","36.530","","1.15%"
"09/29/2023","36.510","36.560","36.650","36.385","","-0.14%"
"09/28/2023","36.560","36.670","36.830","36.540","","-0.33%"
"09/27/2023","36.680","36.400","36.760","36.380","","0.80%"
"09/26/2023","36.390","36.190","36.490","36.155","","0.52%"
"09/25/2023","36.200","35.990","36.210","35.900","","0.47%"
"09/22/2023","36.030","36.160","36.250","35.885","","-0.22%"
"09/21/2023","36.110","36.140","36.320","36.060","","-0.03%"
"09/20/2023","36.120","36.020","36.345","35.845","","0.28%"
"09/19/2023","36.020","35.690","36.080","35.650","","0.98%"
"09/18/2023","35.670","35.710","35.760","35.630","","0.06%"
"09/15/2023","35.650","35.790","35.850","35.645","","-0.28%"
