Date,Value
21/3/2024,36.0450
20/3/2024,36.0500
19/3/2024,35.9700
18/3/2024,35.9000
15/3/2024,35.7600
14/3/2024,35.6130
13/3/2024,35.7290
12/3/2024,35.3900
11/3/2024,35.3980
8/3/2024,35.4920
7/3/2024,35.5870
6/3/2024,35.7770
5/3/2024,35.7010
4/3/2024,35.7970
1/3/2024,35.8300
29/2/2024,35.9540
28/2/2024,35.8800
27/2/2024,35.9310
26/2/2024,35.9370
23/2/2024,35.9300
22/2/2024,35.8410
21/2/2024,35.9800
20/2/2024,36.1200
19/2/2024,35.9450
16/2/2024,36.0400
15/2/2024,36.0550
14/2/2024,36.0620
13/2/2024,35.8710
12/2/2024,35.8720
9/2/2024,35.8300
8/2/2024,35.4820
7/2/2024,35.5500
6/2/2024,35.7600
5/2/2024,35.5750
2/2/2024,35.2980
1/2/2024,35.5490
31/1/2024,35.3510
30/1/2024,35.4300
29/1/2024,35.6030
26/1/2024,35.7300
25/1/2024,35.7100
24/1/2024,35.6430
23/1/2024,35.5790
22/1/2024,35.5300
19/1/2024,35.5300
18/1/2024,35.5750
17/1/2024,35.3860
16/1/2024,34.9600
15/1/2024,34.9470
12/1/2024,34.9870
11/1/2024,35.0130
10/1/2024,34.9140
9/1/2024,34.9400
8/1/2024,34.6370
5/1/2024,34.4890
4/1/2024,34.4400
3/1/2024,34.2100
2/1/2024,34.3260
1/1/2024,34.4200
29/12/2023,34.2900
28/12/2023,34.1950
27/12/2023,34.4710
26/12/2023,34.5080
25/12/2023,34.3940
22/12/2023,34.6850
21/12/2023,34.9530
20/12/2023,34.8300
19/12/2023,34.9400
18/12/2023,34.9520
15/12/2023,34.8800
14/12/2023,35.0870
13/12/2023,35.6500
12/12/2023,35.6800
11/12/2023,35.4620
8/12/2023,35.1100
7/12/2023,35.1970
6/12/2023,35.2400
5/12/2023,35.2150
4/12/2023,34.7330
1/12/2023,35.2570
30/11/2023,34.8020
29/11/2023,34.6600
28/11/2023,34.9940
27/11/2023,35.3730
24/11/2023,35.2740
23/11/2023,35.2380
22/11/2023,35.1180
21/11/2023,35.1530
20/11/2023,35.1050
17/11/2023,35.1950
16/11/2023,35.5010
15/11/2023,35.4970
14/11/2023,35.9900
13/11/2023,36.0780
10/11/2023,35.7650
9/11/2023,35.5300
8/11/2023,35.4970
