Date,Value
03/21/2024,35.915
03/20/2024,36.091
03/19/2024,35.985
03/18/2024,35.89
03/15/2024,35.78
03/14/2024,35.64
03/13/2024,35.75
3/12/2024,35.415
3/11/2024,35.4
3/8/2024,35.56
3/7/2024,35.61
3/6/2024,35.82
3/5/2024,35.755
3/4/2024,35.86
3/1/2024,35.9
02/29/2024,35.95
02/28/2024,35.86
02/27/2024,35.88
02/26/2024,35.96
02/23/2024,35.945
02/22/2024,35.88
02/21/2024,35.995
02/20/2024,36.04
02/19/2024,36.03
02/16/2024,36.07
02/15/2024,36.11
02/14/2024,36.06
02/13/2024,35.89
2/12/2024,35.91
2/9/2024,35.86
2/8/2024,35.615
2/7/2024,35.6
2/6/2024,35.8
2/5/2024,35.56
2/2/2024,35.335
2/1/2024,35.55
01/31/2024,35.4
01/30/2024,35.44
01/29/2024,35.62
01/26/2024,35.75
01/25/2024,35.72
01/24/2024,35.7
01/23/2024,35.61
01/22/2024,35.54
01/19/2024,35.59
01/18/2024,35.61
01/17/2024,35.415
01/16/2024,34.95
01/15/2024,34.96
1/12/2024,35.12
1/11/2024,35.04
1/10/2024,34.94
1/9/2024,34.94
1/8/2024,34.67
1/5/2024,34.525
1/4/2024,34.48
1/3/2024,34.26
1/2/2024,34.39
1/1/2024,34.39
12/29/2023,34.27
12/28/2023,34.35
12/27/2023,34.56
12/26/2023,34.61
12/25/2023,34.6
12/22/2023,34.8
12/21/2023,34.99
12/20/2023,34.84
12/19/2023,34.98
12/18/2023,34.89
12/15/2023,34.88
12/14/2023,35.34
12/13/2023,35.7
12/12/2023,35.75
12/11/2023,35.54
12/8/2023,35.14
12/7/2023,35.16
12/6/2023,35.24
12/5/2023,35.25
12/4/2023,34.91
12/1/2023,35.29
11/30/2023,34.83
11/29/2023,34.77
11/28/2023,35.065
11/27/2023,35.4
11/24/2023,35.25
11/23/2023,35.245
11/22/2023,35.18
11/21/2023,35.21
11/20/2023,35.11
11/17/2023,35.21
11/16/2023,35.59
11/15/2023,35.525
11/14/2023,35.98
11/13/2023,35.97
11/10/2023,35.74
11/9/2023,35.53
11/8/2023,35.58
11/7/2023,35.515
11/6/2023,35.51
11/3/2023,35.985
11/2/2023,36.19
11/1/2023,36.12
10/31/2023,35.9
10/30/2023,36.16
10/27/2023,36.28
10/26/2023,36.23
10/25/2023,36.2
10/24/2023,36.31
10/23/2023,36.49
10/20/2023,36.42
10/19/2023,36.38
10/18/2023,36.34
10/17/2023,36.25
10/16/2023,36.25
10/13/2023,36.4
10/12/2023,36.41
10/11/2023,36.62
10/10/2023,36.97
10/9/2023,37.01
10/6/2023,36.97
10/5/2023,36.905
10/4/2023,37.08
10/3/2023,36.95
10/2/2023,36.55
09/29/2023,36.56
09/28/2023,36.67
09/27/2023,36.4
09/26/2023,36.19
09/25/2023,35.99
09/22/2023,36.16
09/21/2023,36.14
09/20/2023,36.02
09/19/2023,35.69
09/18/2023,35.71
09/15/2023,35.79
09/14/2023,35.72
09/13/2023,35.6
9/12/2023,35.5
9/11/2023,35.64
9/8/2023,35.645
9/7/2023,35.54
9/6/2023,35.465
9/5/2023,35.25
9/4/2023,35.1
9/1/2023,35.01
08/31/2023,35.05
08/30/2023,35.02
08/29/2023,35.22
08/28/2023,35.16
08/25/2023,34.99
08/24/2023,34.98
08/23/2023,35.04
08/22/2023,35.22
08/21/2023,35.38
08/18/2023,35.48
08/17/2023,35.45
08/16/2023,35.38
08/15/2023,35.24
08/14/2023,35.1
8/11/2023,35.125
8/10/2023,35.05
8/9/2023,35.03
8/8/2023,34.84
8/7/2023,34.69
8/4/2023,34.615
8/3/2023,34.49
8/2/2023,34.35
8/1/2023,34.22
07/31/2023,34.26
07/28/2023,34.48
07/27/2023,34.195
07/26/2023,34.49
07/25/2023,34.53
07/24/2023,34.43
07/21/2023,34.2
07/20/2023,34.04
07/19/2023,34.07
07/18/2023,34.61
07/17/2023,34.65
07/14/2023,34.52
07/13/2023,34.67
7/12/2023,34.78
7/11/2023,35.11
7/10/2023,35.16
7/7/2023,35.19
7/6/2023,34.99
7/5/2023,34.9
7/4/2023,35.03
7/3/2023,35.31
06/30/2023,35.64
06/29/2023,35.57
06/28/2023,35.24
06/27/2023,35.19
06/26/2023,35.24
06/23/2023,35.13
06/22/2023,34.81
06/21/2023,34.84
06/20/2023,34.76
06/19/2023,34.69
06/16/2023,34.61
06/15/2023,34.69
06/14/2023,34.64
06/13/2023,34.64
6/12/2023,34.6
6/9/2023,34.63
6/8/2023,34.82
6/7/2023,34.79
6/6/2023,34.8
6/5/2023,34.77
6/2/2023,34.575
6/1/2023,34.72
05/31/2023,34.705
05/30/2023,34.72
05/29/2023,34.76
05/26/2023,34.71
05/25/2023,34.65
05/24/2023,34.61
05/23/2023,34.47
05/22/2023,34.37
05/19/2023,34.415
05/18/2023,34.27
05/17/2023,34.06
05/16/2023,33.79
05/15/2023,33.93
5/12/2023,33.85
5/11/2023,33.65
5/10/2023,33.715
5/9/2023,33.87
5/8/2023,33.9
5/5/2023,33.79
5/4/2023,33.93
5/3/2023,34.12
5/2/2023,34.23
5/1/2023,34.13
04/28/2023,34.15
04/27/2023,34.15
04/26/2023,34.4
04/25/2023,34.36
04/24/2023,34.39
04/21/2023,34.33
04/20/2023,34.44
04/19/2023,34.28
04/18/2023,34.5
04/17/2023,34.29
04/14/2023,34
04/13/2023,34.125
4/12/2023,34.28
4/11/2023,34.38
4/10/2023,34.16
4/7/2023,34.085
4/6/2023,33.94
4/5/2023,34.035
4/4/2023,34.22
4/3/2023,34.16
03/31/2023,34.13
03/30/2023,34.18
03/29/2023,34.26
03/28/2023,34.43
03/27/2023,34.22
03/24/2023,33.99
03/23/2023,34.28
03/22/2023,34.43
03/21/2023,34.08
03/20/2023,34.09
03/17/2023,34.45
03/16/2023,34.64
03/15/2023,34.58
03/14/2023,34.52
03/13/2023,34.76
3/10/2023,34.98
3/9/2023,35.05
3/8/2023,35.1
3/7/2023,34.47
3/6/2023,34.54
3/3/2023,34.82
3/2/2023,34.71
3/1/2023,35.23
02/28/2023,35.01
02/27/2023,34.96
02/24/2023,34.69
02/23/2023,34.62
02/22/2023,34.6
02/21/2023,34.39
02/20/2023,34.46
02/17/2023,34.37
02/16/2023,34.265
02/15/2023,33.89
02/14/2023,33.81
02/13/2023,33.71
2/10/2023,33.59
2/9/2023,33.51
2/8/2023,33.535
2/7/2023,33.75
2/6/2023,33.44
2/3/2023,33.01
2/2/2023,32.82
2/1/2023,32.87
01/31/2023,32.78
01/30/2023,32.83
01/27/2023,32.82
01/26/2023,32.77
01/25/2023,32.8
01/24/2023,32.73
01/23/2023,32.74
01/20/2023,32.92
01/19/2023,32.96
01/18/2023,33
01/17/2023,33.04
01/16/2023,32.88
01/13/2023,33.2
1/12/2023,33.425
1/11/2023,33.49
1/10/2023,33.44
1/9/2023,33.77
1/6/2023,34.05
1/5/2023,33.94
1/4/2023,34.41
1/3/2023,34.54
1/2/2023,34.59
12/30/2022,34.61
12/29/2022,34.77
12/28/2022,34.64
12/27/2022,34.685
12/26/2022,34.77
12/23/2022,34.86
12/22/2022,34.71
12/21/2022,34.68
12/20/2022,34.86
12/19/2022,34.87
12/16/2022,35.05
12/15/2022,34.53
12/14/2022,34.61
12/13/2022,34.87
12/12/2022,34.7
12/9/2022,34.72
12/8/2022,34.95
12/7/2022,35.1
12/6/2022,34.98
12/5/2022,34.71
12/2/2022,34.84
12/1/2022,35.14
11/30/2022,35.48
11/29/2022,35.73
11/28/2022,35.9
11/25/2022,35.74
11/24/2022,36.02
11/23/2022,36.13
11/22/2022,36.27
11/21/2022,35.81
11/18/2022,35.83
11/17/2022,35.75
11/16/2022,35.56
11/15/2022,35.72
11/14/2022,35.97
11/11/2022,36.2
11/10/2022,36.85
11/9/2022,37
11/8/2022,37.37
11/7/2022,37.42
11/4/2022,37.99
11/3/2022,37.78
11/2/2022,37.73
11/1/2022,38.06
10/31/2022,37.94
10/28/2022,37.82
10/27/2022,37.8
10/26/2022,38.01
10/25/2022,38.22
10/24/2022,38.03
10/21/2022,38.11
10/20/2022,38.32
10/19/2022,38.07
10/18/2022,38.09
10/17/2022,38.3
10/14/2022,38.05
10/13/2022,37.94
10/12/2022,38.11
10/11/2022,37.98
